pair_id,generated_path,ref_image,product_image,clip_visual_similarity,clip_prompt_similarity,prompt
0001,runs_balanced/images/0001.jpg,r044.png,p001.png,0.8029541969299316,0.2552473545074463,"A sleek, modern product advertisement featuring the ORICO USB4 SSD Enclosure for Thunderbolt 4/3, M.2 NVMe SSD, Mac mini and Laptops, Model TCM2. The product is prominently displayed in the center with a transparent casing, showcasing its internal cooling fins and fan. The headline ""The watch you want. Now."" is positioned at the top, with a ""Shop Now"" button below. The color palette is minimalist, using silver, black, and white, with a clean, professional design. The overall mood is modern and tech-focused."
0002,runs_balanced/images/0002.jpg,r011.png,p002.png,0.7736977338790894,0.3039435148239136,"A sleek Haier 620L side-by-side refrigerator in black-gold, centered in a modern shopping poster with a bold headline ""SAVE OVER $1600"", a ""BUY NOW"" button, and a clean, minimalist design."
0003,runs_balanced/images/0003.jpg,r183.png,p003.png,0.7228074073791504,0.34687283635139465,"A clean, modern shopping poster featuring the HEGEN PPSU Straw Training Cup in a vibrant blue, with a clear, bold headline ""HEGEN PPSU Straw Training Cup for Ages 1-3, 330ml, Multifunctional Kids Drinking Cup, Blue"" centered on the image. The cup is prominently displayed against a bright, minimalist background with a subtle gradient. The overall style is clean and commercial, with a clear call-to-action button at the bottom. The color palette is bright and inviting, with a focus on blue and white. The product is clearly visible and the headline is"
0004,runs_balanced/images/0004.jpg,r037.png,p004.png,0.7580441236495972,0.33670341968536377,"A sleek, modern Haier freezer in deep navy blue, showcasing the Little Red Flower Series, with a minimalist design and a frost-free feature, set against a clean white background. The product is prominently displayed in the center, with a clear, bold headline above it reading ""Haier Little Red Flower Series Frost-Free Freezer,"" and a ""SHOP NOW"" call-to-action button at the bottom. The overall style is clean and modern, with a focus on the product's design and functionality."
0005,runs_balanced/images/0005.jpg,r025.png,p005.png,0.6941619515419006,0.3348847031593323,"A sleek, modern UGREEN 100W power bank with 20000mAh capacity, featuring a digital display and multiple ports, is the central focus. The product is set against a clean, minimalist background with a subtle gradient. The headline ""UGREEN 100W Power Bank"" is prominently displayed at the top in bold, white font. The overall design is clean and professional, with a modern, minimalist aesthetic. The power bank is shown in a clear, well-lit view, highlighting its features. The image has a commercial-ad feel with a clean, modern design. The"
0006,runs_balanced/images/0006.jpg,r036.png,p006.png,0.8982807993888855,0.35478121042251587,"A sleek, off-white STELANG 517EC espresso machine is the central focus, with a modern design and a steam wand, set against a clean white background. The machine is shown in action, with espresso being poured into a glass cup. The headline ""The watch you want. Now."" is prominently displayed at the top, with a ""Shop Now"" button below. The overall style is clean and modern, with a clear focus on the product."
0007,runs_balanced/images/0007.jpg,r094.png,p007.png,0.7281501889228821,0.3960004448890686,"A vibrant green background with a large, clear image of the Morphy Richards MR1158 electric steamer, showcasing a whole chicken and vegetables inside, with a prominent blue and white ""Shop now"" button and a ""Family dinner, delivered."" headline at the top. The product is centered, with a clean, modern design and a bright, inviting color palette."
0008,runs_balanced/images/0008.jpg,r149.png,p008.png,0.8142696619033813,0.3275600075721741,"A modern, sleek office chair with a mesh fabric and a five-star base, positioned in a minimalist setting with a clean white background. The chair is the central focus, with a bold headline ""Hbada E3Air 4th Gen"" above it. The overall mood is clean and professional, with a promotional feel. The color palette is monochromatic, emphasizing silver and black. The target product is clearly visible and well-lit."
0009,runs_balanced/images/0009.jpg,r020.png,p009.png,0.801198422908783,0.2805376350879669,"A sleek black men's dress shoe with a thick, textured sole, shown in a dynamic angle against a clean white background. The shoe is the central focus, with a minimalist design and a subtle logo on the side. The image has a modern, clean aesthetic with a strong commercial feel. The headline ""Red Dragonfly Men's Thick-Soled Height-Increasing Business Dress Shoes"" is prominently displayed at the top in bold, modern typography. The overall composition is clean and professional, with a clear focus on the product."
0010,runs_balanced/images/0010.jpg,r113.png,p010.png,0.7119731307029724,0.31655576825141907,"A sleek, modern electric water heater with a silver finish, featuring a digital display showing 60°C, positioned centrally against a dark background. The product is highlighted with a clean, professional layout, a prominent headline at the top, and a ""Shop Now"" button at the bottom. The color palette is dark blue and silver, creating a premium feel. The target product, a Haier 60L Electric Water Heater, is clearly visible and the main focus."
0011,runs_balanced/images/0011.jpg,r007.png,p011.png,0.8333993554115295,0.362897664308548,"A modern, sleek kitchen appliance with a black and stainless steel finish, featuring a gas cooktop, a built-in oven, and a right-side exhaust vent. The product is prominently displayed against a clean white background, with a bold headline ""CASDON Integrated Stove"" at the top. The image has a commercial-ad feel with a clear CTA button at the bottom. The color palette is black, silver, and white, emphasizing a premium, contemporary design."
0012,runs_balanced/images/0012.jpg,r071.png,p012.png,0.8013615608215332,0.2634125351905823,"Xiaomi Redmi Book 14 2025, sleek silver, vibrant screen, dynamic X-shaped light burst, bold headline ""Get the special discount!"", ""BUY NOW"" button, modern clean design, high-performance office laptop, promotional poster style."
0013,runs_balanced/images/0013.jpg,r046.png,p013.png,0.8490045070648193,0.2938333749771118,"A clean, modern shopping poster featuring the ERKE Women's Breathable Mesh Sports Shoes as the central focus, with a sleek white and grey design. The shoes are displayed prominently against a minimalist background, with a stylish, clean headline area above. The overall mood is contemporary and aspirational, with a clear call to action. The product is shown in a side profile, highlighting its breathable mesh upper and soft-sole. The color palette is neutral, emphasizing the shoe's clean lines and modern aesthetic."
0014,runs_balanced/images/0014.jpg,r016.png,p014.png,0.8004882335662842,0.2953284978866577,"A sleek 65-inch TCL QLED TV with a vibrant green gemstone floral design, displayed against a dark background, with a bold headline ""TCL 65T6L-C"" and a ""SHOP NOW"" button, in a clean commercial-ad style."
0015,runs_balanced/images/0015.jpg,r162.png,p015.png,0.883446455001831,0.31478339433670044,"A sleek, modern product poster featuring the HP GK400F keyboard with ice blue backlighting and red switches, set against a clean white background. The keyboard is prominently displayed in the center, with a bold headline ""HP GK400F"" above it. The overall design is minimalist and professional, with a clear focus on the product. The mood is clean, modern, and commercial, with a strong emphasis on the keyboard's design and features. The negative prompt should avoid any elements that could distract from the product, such as clutter, extra text, or irrelevant background details. NEGATIVE: clutter,"
0016,runs_balanced/images/0016.jpg,r057.png,p016.png,0.842782199382782,0.37421631813049316,"A clean, modern shopping poster featuring the Insta360 GO 3S 4K camera as the central focus, with a large, clear headline ""Insta360 GO 3S"" above it. The camera is shown in white with a vibrant screen displaying a family photo. The background is a soft blue, with a subtle gradient. The overall mood is bright and inviting, with a clear call to action. The product is prominently displayed, with a clean, minimalist design. The poster has a promotional feel, with a discount offer of $60. The color palette is white, blue"
0017,runs_balanced/images/0017.jpg,r165.png,p017.png,0.619410514831543,0.34134435653686523,"A clean, modern shopping poster featuring the KARCHER KHB water gun as the central focus, with a bold yellow and black design. The product is shown in a clear, high-resolution image against a white background. The headline ""KARCHER KHB"" is prominently displayed in the top center, with a ""SHOP NOW"" button at the bottom. The overall mood is professional and inviting, with a strong emphasis on the product's features and benefits."
0018,runs_balanced/images/0018.jpg,r093.png,p018.png,0.7382581233978271,0.2678309679031372,"A vibrant orange, foldable water cup with a sleek design, prominently displayed against a warm orange background. The cup features a sturdy handle and a clear lid, with the brand name ""DREAM RANGER"" visible on the side. The image is styled to resemble a modern product advertisement, with a clean, minimalist layout and a clear focus on the product. The headline ""DREAM RANGER"" is positioned at the top, and a ""SHOP NOW"" button is located at the bottom left corner. The overall mood is energetic and inviting, emphasizing the product's portability and functionality."
0019,runs_balanced/images/0019.jpg,r159.png,p019.png,0.8076393604278564,0.3762025833129883,"A clean, modern shopping poster featuring a white SUPOR electric cooking pot with a steam basket, centered in a minimalist kitchen setting. The product is highlighted with a clear, bold headline ""SUPOR Electric Cooking Pot"" above it. The image has a soft, warm color palette with a clean, modern aesthetic. The product is clearly visible, with a simple, elegant design. The overall mood is clean, modern, and inviting."
0020,runs_balanced/images/0020.jpg,r189.png,p020.png,0.7173259258270264,0.2807319760322571,"A modern, sleek smart toilet with a digital display and a minimalist design, positioned centrally against a clean white background, showcasing the JOMOO Smart Toilet Set with a clear focus on its advanced features like UVC sterilization, NFC, and water-path purification. The headline ""JOMOO Smart Toilet Set"" is prominently displayed at the top in bold, modern font, with a ""SHOP NOW"" button at the bottom right corner. The overall mood is clean, futuristic, and commercial, with a strong emphasis on the product's design and technology."
0021,runs_balanced/images/0021.jpg,r033.png,p021.png,0.8359065055847168,0.32034745812416077,"A clean, modern shopping poster featuring the Jijintong Hilton Hotel Mattress as the central focus, with a white tufted surface and a 30cm latex pocket spring design. The headline ""Jijintong Hilton Hotel Mattress"" is prominently displayed in a bold, elegant font at the top. The background is a soft blue gradient, and the product is shown in a 3D perspective with a clean, minimalist design. The overall mood is luxurious and inviting, with a clear call to action. The target product is clearly visible and well-lit."
0022,runs_balanced/images/0022.jpg,r118.png,p022.png,0.7284747362136841,0.35768020153045654,"A clean, modern shopping poster featuring a white bottle of YERENTANG shampoo with a blue liquid, set against a minimalist background. The product is prominently displayed in the center, with a bold headline ""YERENTANG"" above it. The overall mood is fresh and professional, with a white and blue color scheme. The bottle is clearly visible, with the label showing ""Fragrance Shampoo"" and ""Oil Control."" The poster has a clean, modern design with a white background and black text. The product is the main focus, with a clear, readable headline area. The style is a commercial-ad"
0023,runs_balanced/images/0023.jpg,r095.png,p023.png,0.9102173447608948,0.3025212287902832,"A clean, modern shopping poster featuring a light khaki business casual trouser, the main focus, with a minimalist design, a clear headline area, and a 'SHOP NOW' button, set against a neutral background. The overall mood is professional and stylish."
0024,runs_balanced/images/0024.jpg,r034.png,p024.png,0.8238668441772461,0.375857412815094,"A sleek black DJI Pocket 3 Osmo Pocket gimbal camera is the central focus, displayed against a crisp white background. The camera's screen shows a dynamic snowboarder in action, with a vibrant blue sky and icy mountain backdrop. A bold red headline at the top reads ""DJI Pocket 3 Osmo Pocket Gimbal Camera,"" with a ""BUY NOW"" button at the bottom. The overall design is clean, modern, and promotional, emphasizing the product's features and appeal."
0025,runs_balanced/images/0025.jpg,r097.png,p025.png,0.7835937738418579,0.3058803379535675,"A stylish, modern advertisement for a large-capacity, two-tier insulated lunch box in off-white, featuring a sleek stainless steel lid and handle, with a clean, minimalist design and a prominent ""Fashion"" label on the side, set against a soft, neutral background. The product is the central focus, with a clear headline ""Fashion Lunch Box"" at the top, a ""SHOP NOW"" button at the bottom, and a warm, inviting color palette of off-white, beige, and silver. The overall mood is chic and practical, with a clean, modern aesthetic."
0026,runs_balanced/images/0026.jpg,r150.png,p026.png,0.8249493837356567,0.3159884810447693,"A modern, minimalist shopping poster featuring a bright orange Tianyuyun handbag wagon as the central focus, set against a clean white background. The product is shown in a clean, well-lit studio shot with a simple, modern design. The headline ""Tianyuyun Handbag Wagon"" is prominently displayed at the top in bold, clean typography. The overall mood is sleek and modern, with a clear call to action. The product is clearly visible and the layout is clean and professional."
0027,runs_balanced/images/0027.jpg,r166.png,p027.png,0.6860619783401489,0.3531847596168518,"A clean, modern shopping poster featuring the MAXCOOK 304 stainless steel cup in coral red, centered with a bold headline ""MAXCOOK ENJOY LIFE"" and a ""SHOP NOW"" button, set against a bright, minimalist background."
0028,runs_balanced/images/0028.jpg,r104.png,p028.png,0.7299093008041382,0.3570292294025421,"A clean, modern shopping poster featuring AKALU Saffron Feminine Care Essential Oil in a vibrant red bottle with a gold dropper, centered against a soft white background. The headline ""Say Hello To Honey"" is displayed in a bold, elegant font at the top, with a ""SHOP NOW"" button below the product. The color palette is warm and inviting, with rich reds and golds, evoking a luxurious and natural feel. The product is clearly visible and the layout is clean and professional."
0029,runs_balanced/images/0029.jpg,r022.png,p029.png,0.7659808397293091,0.29685178399086,"A sleek, modern Khadas Mind 2 AI Mini Workstation is showcased in a minimalist, clean design against a white background, with a prominent headline ""Khadas Mind 2 AI Mini Workstation"" at the top, a ""SHOP NOW"" button at the bottom, and a vibrant, modern color palette of silver, black, and white. The product is clearly visible and centered, with a clean, professional commercial-ad feel."
0030,runs_balanced/images/0030.jpg,r082.png,p030.png,0.7839889526367188,0.32207781076431274,"A clean, modern shopping poster featuring the Mijia H40 robot vacuum prominently in the center, with a sleek white charging station, set against a minimalist background. The headline ""Mijia H40 Robot Vacuum"" is bold and centered at the top, with a clear call-to-action button below. The color palette is white and light gray, with subtle orange accents. The mood is clean, modern, and promotional."
0031,runs_balanced/images/0031.jpg,r050.png,p031.png,0.7506081461906433,0.3400081694126129,"A sleek, modern black portable power station with a digital display, USB ports, and AC outlets, positioned centrally against a clean white background. The product is highlighted with a bold headline ""ECOFLOW RIVER 3"" and a ""SHOP NOW"" button below. The overall design is minimalist and professional, with a clear focus on the product."
0032,runs_balanced/images/0032.jpg,r038.png,p032.png,0.8776221871376038,0.31515368819236755,"A sleek, modern AR glasses product with a futuristic design, featuring a transparent lens and a compact, ergonomic body, set against a minimalist white background. The product is prominently displayed in the center, with a clean, bold headline above it reading ""INAIR 2 Pro + Pod AR Spatial Computer and AR Glasses,"" and a ""Shop Now"" button below. The overall style is clean and modern, with a focus on the product's advanced features and design. The color palette is neutral, with black and silver tones, creating a sophisticated and tech-forward feel."
0033,runs_balanced/images/0033.jpg,r080.png,p033.png,0.8499206304550171,0.3696931004524231,"A clean shopping poster with a beige and gray brown COACH CITY Tote Bag 33 as the central focus, set against a soft sky background. The bag is shown in a clear, well-lit view with a subtle monogram pattern. The headline ""COACH CITY Tote Bag 33"" is prominently displayed at the top in a bold, modern font. The overall mood is elegant and modern, with a clean, minimalist design. The bag is positioned slightly to the left, with a slight angle to showcase its design. The color palette is neutral, with soft beige and gray brown tones. The"
0034,runs_balanced/images/0034.jpg,r075.png,p034.png,0.8139749765396118,0.3534232974052429,"A sleek, modern shopping poster featuring the SHEYIN X9 headphones as the central focus, with a clean layout, a bold headline ""SHEYIN X9 True Bone Conduction,"" and a vibrant color palette of black, white, and silver. The product is displayed prominently on a white background, with a laptop, tablet, and phone showing the same headphones in use. The poster has a professional, commercial-ad feel with a clear CTA at the top."
